RetentionTime,Intensity
5.490250111,0
5.494699955,0
5.499166965,0
5.50361681,0
5.508082867,0
5.512533665,0
5.516983509,0
5.521449566,0
5.525899887,0
5.530366421,0
5.534816265,0
5.539266586,0
5.54373312,0
5.548182964,0
5.552649975,0
5.557099819,0
5.56156683,0
5.566016674,0
5.570466518,0
5.574933529,0
5.579383373,0
5.583849907,0
5.588300228,0
5.592750072,0
5.597216606,0
5.601666927,0
5.606133461,0
5.610583305,0
5.615050316,0
5.61950016,0
5.623950005,0
5.628416538,0
5.632866383,0
5.637333393,0
5.641783237,0
5.646249771,0
5.650700092,0
5.655149937,0
5.65961647,0
5.664066792,0
5.668533325,0
5.67298317,0
5.677433491,0
5.681900024,0
5.686349869,0
5.690816879,0
5.695266724,0
5.699733257,0
5.704183578,0
5.708633423,0
5.713099957,0
5.717550278,0
5.722016811,0
5.726466656,0
5.730916977,0
5.735383034,0
5.739833355,0
5.744299889,0
5.748749733,0
5.753216743,0
5.757666588,0
5.762116432,0
5.766583443,0
5.771033287,0
5.775499821,0
5.779950142,0
5.784399986,0
5.78886652,0
5.793316841,0
5.797783375,0
5.802233219,0
5.80670023,0
5.811150074,0
5.815599918,0
5.820066929,0
5.824516773,0
5.828983784,0
5.833433628,0
5.837883472,0
5.842349529,0
5.846800327,0
5.851266384,0
5.855716228,0
5.860183239,0
5.864633083,0
5.869082928,0
5.873549938,0
5.877999783,0
5.882466793,0
5.886916637,0
5.891366482,0
5.895833492,0
5.900283337,0
5.90474987,0
5.909200191,0
5.913666725,0
5.91811657,0
5.922566891,0
5.927033424,0
5.931483269,0
5.935950279,0
5.940400124,0
5.944849968,0
5.949316978,0
5.953766823,0
5.958233356,0
5.962683201,0
5.967149734,0
5.971600056,0
5.9760499,0
5.980516434,0
5.984966755,0
5.989433289,0
5.993883133,0
5.998333454,0
6.002799988,0
6.007249832,0
6.011716843,0
6.016166687,0
6.020633221,0
6.025083542,0
6.029533386,0
6.03399992,0
6.038450241,0
6.042916775,0
6.047366619,0
6.05181694,0
6.056283474,0
6.060733318,0
6.065199852,0
6.069649696,0
6.074116707,0
6.078566551,0
6.083016396,0
6.087483406,0
6.09193325,0
6.096399784,0
6.100850105,0
6.105316639,0
6.109766483,0
6.114216805,0
6.118683338,0
6.123133183,0
6.127600193,0
6.132050037,0
6.136499882,0
6.140966892,0
6.145416737,0
6.149883747,0
6.154333591,0
6.158800125,0
6.163250446,0
6.167700291,0
6.172166348,0
6.176616192,0
6.181083202,0
6.185533047,0
6.189982891,0
6.194449902,0
6.198899746,0
6.203366756,0
6.207816601,0
6.212283134,0
6.216733456,0
6.2211833,0
6.225649834,0
6.230100155,0
6.234566689,0
6.239016533,0
6.243466854,0
6.247933388,0
6.252383232,0
6.256850243,0
6.261300087,0
6.265767097,0
6.270216942,0
6.274666786,0
6.27913332,0
6.283583641,0
6.288049698,0
6.292500019,0
6.296949863,0
6.301416397,0
6.305866718,0
6.310333252,0
6.314783096,0
6.319250107,0
6.323699951,0
6.328149796,0
6.332616806,0
6.33706665,0
6.341533184,0
6.345983505,0
6.35043335,0
6.354899883,0
6.359350204,0
6.363816738,0
6.368266582,0
6.372733593,0
6.377183437,0
6.381633282,0
6.386099815,0
6.390550137,0
6.39501667,0
6.399466515,0
6.403916359,0
6.408383369,0
6.412833214,0
6.417299747,0
6.421750069,0
6.426216602,0
6.430666447,0
6.435116768,0
6.439583302,0
6.444033146,0
6.448500156,0
6.452950001,0
6.457399845,0
6.461866856,0
6.4663167,0
6.47078371,0
6.475233555,0
6.479700089,0
6.48415041,0
6.488600254,0
6.493066788,0
6.497517109,0
6.501983166,0
6.50643301,0
6.510883808,0
6.515349865,0
6.519799709,0
6.52426672,0
6.528716564,0
6.533183098,0
6.537633419,0
6.542083263,0
6.546549797,0
6.551000118,0
6.555466652,0
6.559916496,0
6.564383507,0
6.568833351,0
6.573283195,0
6.577750206,0
6.58220005,0
6.586667061,0
6.591116905,0
6.59556675,0
6.60003376,0
6.604483604,0
6.608949661,0
6.613399982,0
6.617866516,0
6.62231636,0
6.626766682,0
6.631233215,0
6.63568306,0
6.64015007,0
6.644599915,0
6.649049759,0
6.653516769,0
6.657966614,0
6.662433147,0
6.666883469,0
6.671350002,0
6.675799847,0
6.680250168,0
6.684716702,0
6.689166546,0
6.693633556,0
6.698083401,0
6.702533245,0
6.707000256,0
6.7114501,0
6.715916634,0
6.720366478,0
6.724833012,0
6.729283333,0
6.733733177,0
6.738199711,0
6.742650032,0
6.747116566,0
6.75156641,0
6.756016731,0
6.760483265,0
6.764933109,0
6.76940012,0
6.773849964,0
6.778316975,0
6.782766819,0
6.787216663,0
6.791683674,0
6.796133518,0
6.800600052,0
6.805050373,0
6.809500217,0
6.813966751,0
6.818417072,0
6.822883129,0
6.82733345,0
6.831799984,0
6.836249828,0
6.840699673,0
6.845166683,0
6.849616528,0
6.854083061,0
6.858533382,0
6.862983227,0
6.86744976,0
6.871900082,0
6.876366615,0
6.88081646,0
6.88528347,0
6.889733315,0
6.894183159,0
6.898650169,0
6.903100014,0
6.907567024,0
6.912016869,0
6.916483402,0
6.920933723,0
6.925383568,0
6.929849625,0
6.934300423,0
6.938766479,0
6.943216324,0
6.947666645,0
6.952133179,0
6.956583023,0
6.961050034,0
6.965499878,0
6.969966412,0
6.974416733,0
6.978866577,0
6.983333111,0
6.987783432,0
6.992249966,0
6.99669981,0
7.001150131,0
7.005616665,0
7.010066509,0
7.01453352,0
7.018983364,0
7.023450375,0
7.027900219,0
7.032350063,0
7.036817074,0
7.041266918,0
7.045732975,0
7.050183296,0
7.054633617,0
7.059099674,0
7.063549995,0
7.068016529,0
7.072466373,0
7.076933384,0
7.081383228,0
7.085833073,0
7.090300083,0
7.094749928,0
7.099216938,0
7.103666782,0
7.108133316,0
7.112583637,0
7.117033482,0
7.121500015,0
7.125950336,0
7.13041687,0
7.134866714,0
7.139317036,0
7.143783569,0
7.148233414,0
7.152699947,0
7.157149792,0
7.161600113,0
7.166066647,0
7.170516491,0
7.174983025,0
7.179433346,0
7.183899879,0
7.188349724,0
7.192800045,0
7.197266579,0
7.201716423,0
7.206183434,0
7.210633278,0
7.215083122,0
7.219550133,0
7.223999977,0
7.228466988,0
7.232916832,0
7.237383366,0
7.241833687,0
7.246283531,0
7.250750065,0
7.255200386,0
7.259666443,0
7.264116287,0
7.268583298,0
7.273033142,0
7.277482986,0
7.281949997,0
7.286399841,0
7.290866375,0
7.295316696,0
7.299766541,0
7.304233074,0
7.308683395,0
7.313149929,0
7.317599773,0
7.322066784,0
7.326516628,0
7.330966473,0
7.335433483,0
7.339883327,0
7.344350338,0
7.348800182,0
7.353250027,0
7.357717037,0
7.362166882,0
7.366632938,0
7.371083736,0
