RetentionTime,Intensity
10.7279501,0
10.73239994,0
10.73684978,0
10.7413168,0
10.74576664,0
10.7502327,0
10.75468349,0
10.75915051,0
10.7635994,0
10.76805019,0
10.7725172,0
10.77696609,0
10.78143311,0
10.7858839,0
10.79033279,0
10.7947998,0
10.7992506,0
10.80371666,0
10.8081665,0
10.81263351,0
10.81708336,0
10.8215332,0
10.82600021,0
10.83045006,0
10.83491611,0
10.83936691,0
10.84383297,0
10.84828281,0
10.85273361,0
10.85719967,0
10.86164951,0
10.86611652,0
10.87056637,0
10.87501621,0
10.87948322,0
10.88393307,0
10.88840008,0
10.89284992,0
10.89729977,0
10.90176678,0
10.90621662,0
10.91068363,0
10.91513348,0
10.91960049,0
10.92405033,0
10.92850018,0
10.93296719,0
10.93741703,0
10.94188309,0
10.94633389,0
10.95079994,0
10.95524979,0
10.95969963,0
10.96416664,0
10.96861649,0
10.9730835,0
10.97753334,0
10.9819994,0
10.9864502,0
10.99090004,0
10.9953661,0
10.99981689,0
11.00426674,0
11.0087328,0
11.01318359,0
11.0176506,0
11.02209949,0
11.02656651,0
11.0310173,0
11.03548336,0
11.0399332,0
11.044384,0
11.04885006,0
11.0532999,0
11.0577507,0
11.06221581,0
11.0666666,0
11.07113361,0
11.0755825,0
11.08004951,0
11.08450031,0
11.0889492,0
11.09341621,0
11.09786701,0
11.10233402,0
11.10678291,0
11.11123371,0
11.11570072,0
11.12014961,0
11.12461662,0
11.12906742,0
11.13353348,0
11.13798332,0
11.14245033,0
11.14690018,0
11.15135002,0
11.15581703,0
11.16026688,0
11.16473293,0
11.16918373,0
11.17363358,0
11.17809963,0
11.18255043,0
11.18701649,0
11.19146633,0
11.19593334,0
11.20038319,0
11.20483303,0
11.20930004,0
11.21374989,0
11.2182169,0
11.22266674,0
11.22711658,0
11.2315836,0
11.23603344,0
11.2404995,0
11.24495029,0
11.24940014,0
11.2538662,0
11.25831699,0
11.262784,0
11.26723289,0
11.27169991,0
11.27614975,0
11.28059959,0
11.2850666,0
11.28951645,0
11.29398251,0
11.2984333,0
11.30290031,0
11.30734921,0
11.3118,0
11.31626701,0
11.3207159,0
11.32518291,0
11.32963371,0
11.3340826,0
11.33854961,0
11.34300041,0
11.34746742,0
11.35191631,0
11.35636711,0
11.36083412,0
11.36528301,0
11.36975002,0
11.37420082,0
11.37866592,0
11.38311672,0
11.38758373,0
11.39203262,0
11.39648342,0
11.40095043,0
11.40539932,0
11.40985012,0
11.41431713,0
11.41876602,0
11.42323303,0
11.42768383,0
11.43214989,0
11.43659973,0
11.44105053,0
11.44551659,0
11.44996643,0
11.45443344,0
11.45888329,0
11.4633503,0
11.46780014,0
11.47224998,0
11.476717,0
11.48116684,0
11.4856329,0
11.49008369,0
11.49454975,0
11.4989996,0
11.50344944,0
11.50791645,0
11.51236629,0
11.51683331,0
11.52128315,0
11.52573299,0
11.5302,0
11.53464985,0
11.53911686,0
11.5435667,0
11.54803371,0
11.55248356,0
11.5569334,0
11.56140041,0
11.56585026,0
11.57031631,0
11.57476711,0
11.57921696,0
11.58368301,0
11.58813381,0
11.59260082,0
11.59704971,0
11.60150051,0
11.60596657,0
11.61041641,0
11.61488342,0
11.61933327,0
11.62379932,0
11.62825012,0
11.63269997,0
11.63716602,0
11.64161682,0
11.64608383,0
11.65053272,0
11.65499973,0
11.65945053,0
11.66389942,0
11.66836643,0
11.67281723,0
11.67728329,0
11.68173313,0
11.68618393,0
11.69064999,0
11.69509983,0
11.69956684,0
11.70401669,0
11.70848274,0
11.71293354,0
11.71738338,0
11.72184944,0
11.72630024,0
11.73076725,0
11.73521614,0
11.73966694,0
11.74413395,0
11.74858284,0
11.75304985,0
11.75750065,0
11.76194954,0
11.76641655,0
11.77086735,0
11.7753334,0
11.77978325,0
11.78425026,0
11.7887001,0
11.79314995,0
11.79761696,0
11.8020668,0
11.80653381,0
11.81098366,0
11.81544971,0
11.81989956,0
11.82435036,0
11.82881641,0
11.83326626,0
11.83773327,0
11.84218311,0
11.84665012,0
11.85109997,0
11.85554981,0
11.86001682,0
11.86446667,0
11.86893272,0
11.87338352,0
11.87783337,0
11.88229942,0
11.88675022,0
11.89121723,0
11.89566612,0
11.90011692,0
11.90458393,0
11.90903282,0
11.91349983,0
11.91795063,0
11.92239952,0
11.92686653,0
11.93131733,0
11.93578243,0
11.94023323,0
11.94470024,0
11.94914913,0
11.95359993,0
11.95806694,0
11.96251583,0
11.96698284,0
11.97143364,0
11.97590065,0
11.98034954,0
11.98480034,0
11.98926735,0
11.99371624,0
11.99818325,0
12.00263405,0
12.00710011,0
12.01154995,0
12.01600075,0
12.0204668,0
12.02491665,0
12.02938366,0
12.0338335,0
12.03828335,0
12.04275036,0
12.04719925,0
12.05166626,0
12.05611706,0
12.06058311,0
12.06503296,0
12.06948376,0
12.07394981,0
12.07839966,0
12.08286667,0
12.08731651,0
12.09176636,0
12.09623337,0
12.10068321,0
12.10515022,0
12.10960007,0
12.11406612,0
12.11851692,0
12.12296677,0
12.12743282,0
12.13188362,0
12.13635063,0
12.14079952,0
12.14525032,0
12.14971638,0
12.15416622,0
12.15863323,0
12.16308308,0
12.16755009,0
12.17199993,0
12.17644978,0
12.18091679,0
12.18536663,0
12.18983364,0
12.19428349,0
12.19873333,0
12.20320034,0
12.20765018,0
12.21211624,0
12.21656704,0
12.22101688,0
12.22548294,0
12.22993374,0
12.23440075,0
12.23884964,0
12.24331665,0
12.24776745,0
12.25221634,0
12.25668335,0
12.26113415,0
12.26559925,0
12.27005005,0
12.27451706,0
12.27896595,0
12.28341675,0
12.28788376,0
12.29233265,0
12.29679966,0
12.30125046,0
12.30571651,0
12.31016636,0
12.31461716,0
12.31908321,0
12.32353306,0
12.32800007,0
12.33244991,0
12.33689976,0
12.34136677,0
12.34581661,0
12.35028362,0
12.35473347,0
12.35920048,0
12.36364937,0
12.36810017,0
12.37256718,0
12.37701607,0
12.38148308,0
12.38593388,0
12.39038277,0
12.39484978,0
12.39930058,0
12.40376663,0
12.40821648,0
12.41266727,0
12.41713333,0
12.42158318,0
12.42605019,0
12.43050003,0
12.43496704,0
12.43941689,0
12.44386673,0
12.44833374,0
12.45278358,0
12.45724964,0
12.46170044,0
12.4661665,0
12.47061634,0
12.47506714,0
12.4795332,0
12.48398304,0
12.48845005,0
12.49289989,0
12.49734974,0
12.50181675,0
12.50626659,0
12.51073265,0
12.51518345,0
12.51965046,0
12.52409935,0
12.52855015,0
12.53301716,0
12.53746605,0
12.54193306,0
12.54638386,0
12.55083275,0
12.55529976,0
12.55975056,0
12.56421757,0
12.56866646,0
12.57313347,0
12.57758427,0
12.58203316,0
12.58650017,0
12.59094906,0
12.59541607,0
12.59986687,0
12.60431576,0
12.60878277,0
12.61323357,0
12.61770058,0
12.62214947,0
12.62661648,0
12.63106728,0
12.63551617,0
12.63998318,0
12.64443398,0
12.64890003,0
12.65334988,26102.66992
12.65780067,0
12.66226673,0
12.66671658,0
12.67118359,0
12.67563343,0
12.68010044,59832.60938
12.68455029,0
12.68900013,0
12.69346619,0
12.69791698,0
12.70238304,0
12.70683289,25093.58984
12.7112999,0
12.71574974,79962.34375
12.72019958,0
12.7246666,247103.8906
12.72911644,468398.75
12.73358345,863798
12.73803329,1587934.125
12.74248314,3259933
12.74695015,5577935.5
12.75139999,9184435
12.75586605,13888993
12.76031685,18997500
12.76478386,25026172
12.76923275,31211602
12.77368355,41706588
12.77815056,53374076
12.78259945,55363652
12.78706646,63476096
12.79151726,74629280
12.79596615,76774880
12.80043316,76319400
12.80488396,77247088
12.80935001,84447464
12.81379986,81060352
12.81826687,77543928
12.82271671,73208328
12.82716656,74952992
12.83163357,73429616
12.83608341,59988728
12.84054947,54146868
12.84500027,57412860
12.84945011,53405100
12.85391617,44291868
12.85836697,35152628
12.86283398,33681732
12.86728287,30841496
12.87174988,30861566
12.87620068,20386892
12.88064957,17635828
12.88511658,18543790
12.88956738,16399307
12.89403343,12709421
12.89848328,10036079
12.90293407,9787911
12.90739918,8680561
12.91184998,6447887.5
12.91631699,5830231
12.92076588,6111430
12.92523289,4600305
12.92968369,5398992.5
12.93413258,3892983.5
